name,word-precision,word-recall, word-fval,phrase-precision,phrase-recall, phrase-fval
289.abstr,0.72,0.67,0.69,0.33,0.4,0.36
29.abstr,0.35,0.33,0.34,0.1,0.12,0.11
290.abstr,0.56,0.75,0.64,0.11,0.2,0.14
291.abstr,0.51,0.41,0.46,0.2,0.18,0.19
292.abstr,0.6,0.72,0.66,0.15,0.21,0.18
293.abstr,0.45,0.63,0.53,0.21,0.4,0.28
294.abstr,0.4,0.48,0.44,0.05,0.09,0.07
295.abstr,0.19,0.24,0.21,0.0,0.0,0.0
296.abstr,0.37,0.58,0.45,0.18,0.4,0.25
297.abstr,0.33,0.8,0.47,0.15,0.6,0.24
298.abstr,0.44,0.8,0.57,0.15,0.27,0.19
299.abstr,0.26,0.43,0.32,0.0,0.0,0.0
3.abstr,0.07,0.14,0.09,0.0,0.0,0.0
30.abstr,0.31,0.69,0.43,0.1,0.25,0.14
300.abstr,0.19,0.6,0.29,0.0,0.0,0.0
301.abstr,0.28,0.58,0.38,0.05,0.17,0.08
302.abstr,0.35,0.69,0.47,0.0,0.0,0.0
303.abstr,0.23,0.27,0.25,0.05,0.07,0.06
304.abstr,0.3,0.33,0.32,0.06,0.08,0.07
305.abstr,0.44,0.69,0.54,0.0,0.0,0.0
306.abstr,0.41,0.38,0.39,0.05,0.07,0.06
307.abstr,0.74,0.74,0.74,0.16,0.27,0.2
308.abstr,0.63,0.46,0.53,0.16,0.18,0.17
309.abstr,0.5,0.53,0.52,0.15,0.19,0.17
31.abstr,0.63,0.53,0.58,0.21,0.29,0.24
310.abstr,0.29,0.5,0.37,0.05,0.09,0.06
311.abstr,0.48,0.8,0.6,0.11,0.29,0.15
312.abstr,0.25,0.5,0.33,0.06,0.2,0.09
313.abstr,0.38,0.53,0.44,0.05,0.11,0.07
314.abstr,0.09,0.15,0.11,0.0,0.0,0.0
315.abstr,0.38,0.4,0.39,0.17,0.38,0.23
316.abstr,0.21,0.45,0.29,0.05,0.25,0.09
317.abstr,0.5,0.61,0.55,0.15,0.3,0.2
318.abstr,0.46,0.85,0.59,0.11,0.33,0.16
319.abstr,0.52,0.57,0.54,0.05,0.08,0.06
32.abstr,0.38,0.73,0.5,0.11,0.25,0.15
320.abstr,0.74,0.63,0.68,0.33,0.3,0.32
321.abstr,0.31,0.4,0.35,0.05,0.08,0.06
322.abstr,0.16,0.26,0.2,0.05,0.14,0.07
323.abstr,0.45,0.56,0.5,0.06,0.14,0.08
324.abstr,0.52,0.39,0.45,0.06,0.06,0.06
325.abstr,0.4,0.67,0.5,0.1,0.18,0.13
326.abstr,0.17,0.36,0.24,0.1,0.25,0.14
327.abstr,0.38,0.5,0.43,0.05,0.11,0.07
328.abstr,0.38,0.45,0.41,0.0,0.0,0.0
329.abstr,0.44,0.6,0.51,0.1,0.17,0.13
33.abstr,0.58,0.6,0.59,0.11,0.17,0.13
330.abstr,0.3,0.5,0.37,0.0,0.0,0.0
331.abstr,0.42,0.42,0.42,0.05,0.07,0.06
332.abstr,0.7,0.57,0.63,0.18,0.23,0.2
333.abstr,0.46,0.48,0.47,0.15,0.2,0.17
334.abstr,0.27,0.82,0.41,0.1,0.4,0.16
335.abstr,0.31,0.5,0.38,0.0,0.0,0.0
338.abstr,0.08,0.09,0.09,0.0,0.0,0.0
339.abstr,0.15,0.17,0.16,0.11,0.13,0.12
34.abstr,0.42,0.69,0.52,0.06,0.14,0.08
340.abstr,0.31,0.45,0.37,0.08,0.2,0.12
341.abstr,0.3,0.6,0.4,0.07,0.2,0.11
342.abstr,0.29,0.5,0.37,0.06,0.14,0.09
343.abstr,0.33,0.47,0.39,0.07,0.13,0.09
344.abstr,0.23,0.42,0.29,0.0,0.0,0.0
345.abstr,0.13,0.44,0.2,0.0,0.0,0.0
346.abstr,0.26,0.3,0.28,0.0,0.0,0.0
347.abstr,0.35,0.44,0.39,0.16,0.3,0.21
348.abstr,0.55,0.79,0.65,0.29,0.5,0.36
349.abstr,0.3,0.47,0.37,0.05,0.14,0.08
35.abstr,0.5,0.7,0.58,0.2,0.4,0.27
350.abstr,0.14,0.6,0.22,0.05,0.33,0.09
351.abstr,0.43,0.82,0.56,0.06,0.2,0.09
352.abstr,0.62,0.82,0.71,0.26,0.38,0.31
353.abstr,0.6,0.67,0.63,0.4,0.4,0.4
354.abstr,0.45,0.71,0.56,0.21,0.5,0.3
355.abstr,0.4,0.75,0.52,0.08,0.33,0.13
356.abstr,0.63,0.83,0.71,0.08,0.13,0.1
357.abstr,0.36,0.64,0.46,0.1,0.2,0.13
358.abstr,0.39,0.78,0.52,0.12,0.5,0.19
359.abstr,0.46,0.86,0.6,0.15,0.5,0.23
36.abstr,0.24,0.5,0.33,0.05,0.17,0.08
360.abstr,0.56,0.83,0.67,0.27,0.5,0.35
361.abstr,0.38,0.67,0.49,0.2,0.5,0.29
362.abstr,0.43,0.68,0.53,0.11,0.2,0.14
363.abstr,0.44,0.8,0.57,0.19,0.5,0.27
364.abstr,0.38,0.56,0.45,0.05,0.13,0.07
365.abstr,0.34,0.3,0.32,0.05,0.06,0.05
366.abstr,0.35,0.28,0.31,0.05,0.1,0.07
367.abstr,0.62,0.76,0.68,0.15,0.38,0.21
368.abstr,0.58,0.56,0.57,0.32,0.26,0.29
369.abstr,0.2,0.42,0.27,0.0,0.0,0.0
37.abstr,0.46,0.46,0.46,0.15,0.21,0.18
370.abstr,0.38,0.58,0.46,0.05,0.1,0.07
371.abstr,0.24,0.44,0.31,0.05,0.17,0.08
373.abstr,0.11,0.2,0.14,0.05,0.14,0.07
374.abstr,0.59,0.52,0.55,0.12,0.14,0.13
375.abstr,0.59,0.63,0.61,0.17,0.21,0.19
376.abstr,0.61,0.85,0.71,0.16,0.27,0.2
377.abstr,0.81,0.68,0.74,0.4,0.44,0.42
378.abstr,0.42,0.76,0.54,0.05,0.11,0.07
379.abstr,0.71,0.69,0.7,0.15,0.19,0.17
38.abstr,0.19,0.44,0.27,0.06,0.2,0.09
380.abstr,0.71,0.75,0.73,0.32,0.33,0.32
381.abstr,0.54,0.81,0.65,0.05,0.08,0.06
382.abstr,0.58,0.7,0.64,0.21,0.27,0.24
383.abstr,0.46,0.6,0.52,0.11,0.25,0.15
384.abstr,0.31,0.42,0.36,0.1,0.2,0.13
385.abstr,0.52,0.48,0.5,0.11,0.13,0.11
386.abstr,0.55,0.73,0.63,0.11,0.18,0.13
387.abstr,0.47,0.58,0.52,0.05,0.11,0.07
388.abstr,0.24,0.29,0.26,0.05,0.07,0.06
389.abstr,0.67,0.77,0.71,0.12,0.18,0.14
39.abstr,0.72,0.62,0.67,0.2,0.22,0.21
390.abstr,0.42,0.45,0.43,0.1,0.13,0.11
391.abstr,0.34,0.43,0.38,0.06,0.08,0.06
392.abstr,0.39,0.5,0.44,0.11,0.14,0.12
393.abstr,0.29,0.48,0.36,0.0,0.0,0.0
394.abstr,0.31,0.4,0.35,0.06,0.09,0.07
395.abstr,0.58,0.76,0.66,0.15,0.21,0.18
396.abstr,0.47,0.73,0.57,0.05,0.09,0.07
397.abstr,0.38,0.5,0.43,0.11,0.18,0.13
398.abstr,0.56,0.51,0.53,0.16,0.18,0.17
399.abstr,0.48,0.58,0.53,0.16,0.25,0.19
4.abstr,0.07,0.5,0.12,0.0,0.0,0.0
40.abstr,0.26,0.55,0.35,0.0,0.0,0.0
400.abstr,0.46,0.5,0.48,0.11,0.12,0.11
401.abstr,0.36,0.59,0.44,0.11,0.18,0.13
402.abstr,0.19,0.29,0.23,0.0,0.0,0.0
403.abstr,0.57,0.74,0.65,0.11,0.17,0.13
404.abstr,0.4,0.44,0.42,0.05,0.05,0.05
405.abstr,0.24,0.64,0.35,0.06,0.25,0.09
406.abstr,0.2,0.29,0.24,0.05,0.14,0.08
407.abstr,0.22,0.39,0.28,0.11,0.25,0.15
408.abstr,0.16,0.67,0.26,0.05,0.33,0.09
41.abstr,0.41,0.5,0.45,0.22,0.33,0.27
410.abstr,0.61,0.81,0.69,0.23,0.38,0.29
411.abstr,0.33,0.5,0.4,0.08,0.14,0.11
412.abstr,0.31,0.36,0.33,0.05,0.08,0.06
413.abstr,0.3,0.57,0.39,0.05,0.14,0.07
414.abstr,0.32,0.69,0.44,0.1,0.25,0.14
Average,0.41,0.57,0.46,0.12,0.21,0.14
